fies_score,lat_dd_mod,lon_dd_mod,region,fies_average
0,9.516954,41.809855,Dire Dawa,2.6715329
0,9.596399,41.885931,Dire Dawa,2.6715329
0,9.565253,41.97498,Dire Dawa,2.6715329
0,9.503581000000001,42.070496,Dire Dawa,2.6715329
6,9.523417999999999,41.904651,Dire Dawa,2.6715329
4,9.508095000000001,41.76715,Dire Dawa,2.6715329
2,9.602402,41.866591,Dire Dawa,2.6715329
6,9.700886000000001,42.103126,Dire Dawa,2.6715329
0,9.565253,41.97498,Dire Dawa,2.6715329
8,9.700886000000001,42.103126,Dire Dawa,2.6715329
0,9.602402,41.866591,Dire Dawa,2.6715329
4,9.508095000000001,41.76715,Dire Dawa,2.6715329
3,9.475664999999999,41.95415,Dire Dawa,2.6715329
2,9.645111999999999,41.834549,Dire Dawa,2.6715329
2,9.516954,41.809855,Dire Dawa,2.6715329
0,9.565253,41.97498,Dire Dawa,2.6715329
1,9.508095000000001,41.76715,Dire Dawa,2.6715329
8,9.700886000000001,42.103126,Dire Dawa,2.6715329
2,9.504422999999999,41.6638,Dire Dawa,2.6715329
8,9.523417999999999,41.904651,Dire Dawa,2.6715329
4,9.700886000000001,42.103126,Dire Dawa,2.6715329
5,9.516954,41.809855,Dire Dawa,2.6715329
3,9.523417999999999,41.904651,Dire Dawa,2.6715329
1,9.602402,41.866591,Dire Dawa,2.6715329
3,9.475664999999999,41.95415,Dire Dawa,2.6715329
2,9.508095000000001,41.76715,Dire Dawa,2.6715329
2,9.508095000000001,41.76715,Dire Dawa,2.6715329
0,9.645111999999999,41.834549,Dire Dawa,2.6715329
6,9.565253,41.97498,Dire Dawa,2.6715329
0,9.504422999999999,41.6638,Dire Dawa,2.6715329
0,9.587377,41.738265,Dire Dawa,2.6715329
3,9.504422999999999,41.6638,Dire Dawa,2.6715329
3,9.475664999999999,41.95415,Dire Dawa,2.6715329
3,9.516954,41.809855,Dire Dawa,2.6715329
